id,timing,priority,target,condition,cond_option,effect,effect_option
-1,none,-1,none,none,none,none,none
-4,on_before_attack,-1,pet,none,none,escape,none
-7,none,-1,pet,none,none,set_pet,type=specialChance&op=-&value=1
1,on_after_attack,-1,pet,none,none,card,name=生成{1}张{0}&type=token&op=+&value={0}&count={1}
2,on_after_attack,-1,pet,skill,type=type&type_op=GTE&type_cmp=0,card,name=使用卡片时生成{1}张{0}&type=token&op=+&value={0}&count={1}
3,on_after_attack,-1,pet,skill,type=type&type_op=GTE&type_cmp=0,remove_buff,name=使用卡片时移除印记&{0}={1}&{2}={3}&{4}={5}&{6}={7}&{8}={9}&{10}={11}
4,on_after_attack,-1,pet,none,none,card,name=随机舍弃{0}张手牌&type=draw&op=-&count={0}
5,on_after_attack,-1,pet,none,none,card,name=抽取{0}张卡片&type=draw&op=+&count={0}
6,on_after_attack,-1,pet,none,none,card,name=检索{0}张卡片，条件为{1}&type=draw&op=+&count={0}&filter={1}
7,on_after_attack,-1,pet,none,none,card,name=检索{0}张卡片，条件为{1}，并使其{2}&type=draw&op=+&count={0}&filter={1}&set={2}
8,on_after_attack,-1,pet,none,none,card,name=舍弃{0}张卡片，条件为{1}&type=draw&op=-&count={0}&filter={1}
1001,on_after_attack,-1,pet,none,none,powerup,name=强化&{0}={1}&{2}={3}&{4}={5}&{6}={7}&{8}={9}&{10}={11}
1002,on_after_attack,-1,pet,none,none,add_buff,name=添加印记&{0}={1}&{2}={3}&{4}={5}&{6}={7}&{8}={9}&{10}={11}
1003,on_after_attack,-1,pet,none,none,remove_buff,name=移除印记&{0}={1}&{2}={3}&{4}={5}&{6}={7}&{8}={9}&{10}={11}
1004,on_after_attack,-1,pet,none,none,heal,name=恢复&add={0}&{1}={2}
1005,on_after_attack,-1,pet,none,is_hit=false,heal,name=未命中时恢复&add={0}&{1}={2}
1006,on_after_attack,-1,pet,none,none,rage,name=怒气&add={0}&{1}={2}
1007,on_after_attack,-1,pet,none,is_hit=false,rage,name=未命中时怒气&add={0}&{1}={2}
1008,on_before_attack,-1,skill,none,none,set_skill,name=设定技能数值&type={0}&op={1}&value={2}&{3}={4}
1009,on_before_attack,-1,skill,status,status_type={0}&op={1}&cmp_value={2},set_skill,name=能力值比较后，设定技能数值&type={3}&op={4}&value={5}
1010,on_final_dmg_cal,100,skill,none,none,set_damage,name=造成伤害不低于{0}&op=[MAX]&value={0}
1011,on_after_attack,-1,pet,none,none,set_buff,name=设定印记数值&id={0}&type={1}&op={2}&value={3}&{4}={5}
1012,on_turn_end,-1,skill,none,none,set_skill,name=回合结束时，设定技能数值&type={0}&op={1}&value={2}&{3}={4}
1013,on_turn_end,-1,pet,none,none,set_buff,name=回合结束时，设定印记数值&id={0}&type={1}&op={2}&value={3}&{4}={5}
1014,on_add_buff,-1,pet,none,none,add_buff,name=添加印记时添加印记&id={0}&{1}={2}&{3}={4}&{5}={6}&{7}={8}&{9}={10}
1015,on_remove_buff,-1,pet,none,none,remove_buff,name=移除印记时移除印记&id={0}&{1}={2}&{3}={4}&{5}={6}&{7}={8}&{9}={10}
1016,on_after_attack,-1,pet,none,whos_turn=op&whos_attack=op,add_buff,name=对手攻击后添加印记&{0}={1}&{2}={3}&{4}={5}&{6}={7}&{8}={9}&{10}={11}
1017,on_after_attack,-1,pet,none,whos_turn=op&whos_attack=op,remove_buff,name=对手攻击后移除印记&{0}={1}&{2}={3}&{4}={5}&{6}={7}&{8}={9}&{10}={11}
1018,on_turn_end,100,pet,none,none,heal,name=回合结束时恢复&type=buff&add={0}
1019,on_turn_start,-1,buff,none,none,set_buff,name=回合开始时，设定印记数值&id={0}&type={1}&op={2}&value={3}
1020,on_turn_start,-1,pet,unit,type={0}&type[0].op={1}&type[0].cmp={2},rage,name=回合开始时，当前玩家条件设定怒气数值&add={3}&{4}={5}
1021,on_decide_pri,-1,skill,unit,type={0}/me.skill.type&type[0].op={1}&type[0].cmp={2}&type[1].op=GTE&type[1].cmp=0,set_skill,name=选择技能时，当前玩家条件设定技能先制&type=priority&op={3}&value={4}&{5}={6}
1022,on_after_attack,-1,pet,buff,whos_turn=op&whos_attack=op&id={0},remove_buff,name=若自身有印记{0}则移除印记&{1}={2}&{3}={4}&{5}={6}&{7}={8}&{9}={10}&{11}={12}
2001,none,-1,pet,none,none,powerup,name=强化&{0}={1}&{2}={3}&{4}={5}&{6}={7}&{8}={9}&{10}={11}
2002,none,-1,pet,none,none,add_buff,name=添加印记&{0}={1}&{2}={3}&{4}={5}&{6}={7}&{8}={9}&{10}={11}
2003,none,-1,pet,none,none,remove_buff,name=移除印记&{0}={1}&{2}={3}&{4}={5}&{6}={7}&{8}={9}&{10}={11}
2004,none,-1,pet,none,none,heal,name=恢复&add={0}&{1}={2}
2005,none,-1,pet,none,is_hit=false,heal,name=未命中时恢复&add={0}&{1}={2}
2006,none,-1,pet,none,none,rage,name=怒气&add={0}&{1}={2}
3001,on_add_buff,-1,pet,none,none,rage,name=添加印记时，怒气不低于{0}&min={0}
3002,on_remove_buf,-1,pet,none,none,rage,name=移除印记时，怒气最低为{0}&min={0}
3003,on_final_dmg_cal,-1,skill,skill,who=op&whos_turn=op&type=type&type_op=>&type_cmp=0,set_damage,name=受到的攻击伤害乘算&who=op&op=*&value={0}
3004,on_attack,10,skill,skill,who=op&whos_turn=op&whos_attack=op&type=type&type_op=GTE&type_cmp=0,set_damage,name=受到的技能固定伤害乘算&who=op&type=skill_fix&op=*&value={0}
3005,on_attack,10,skill,skill,who=op&whos_turn=op&whos_attack=op&type=type&type_op=GTE&type_cmp=0,set_damage,name=受到的技能百分比伤害乘算&who=op&type=skill_per&op=*&value={0}
3006,on_turn_end,101,pet,none,none,set_damage,name=受到的印记固定伤害乘算&type=buff_fix&op=*&value={0}
3007,on_turn_end,101,pet,none,none,set_damage,name=受到的印记百分比伤害乘算&type=buff_per&op=*&value={0}
3008,on_final_dmg_cal,-1,skill,unit,whos_turn=op&whos_attack=op&type=me.pet.buff[{1}].{2}/op.skill.type&type[0].op={3}&type[0].cmp={4}&type[1].op=GTE&type[1].cmp=0,set_damage,name=受到的攻击伤害乘算&who=op&op=*&value={0}
3009,on_attack,10,skill,unit,whos_turn=op&whos_attack=op&type=me.pet.buff[{1}].{2}/op.skill.type&type[0].op={3}&type[0].cmp={4}&type[1].op=GTE&type[1].cmp=0,set_damage,name=受到的技能固定伤害乘算&who=op&type=skill_fix&op=*&value={0}
3010,on_attack,10,skill,unit,whos_turn=op&whos_attack=op&type=me.pet.buff[{1}].{2}/op.skill.type&type[0].op={3}&type[0].cmp={4}&type[1].op=GTE&type[1].cmp=0,set_damage,name=受到的技能百分比伤害乘算&who=op&type=skill_per&op=*&value={0}
3011,on_turn_end,101,pet,unit,type=me.pet.buff[{1}].{2}&type[0].op={3}&type[0].cmp={4},set_damage,name=受到的印记固定伤害乘算&type=buff_fix&op=*&value={0}
3012,on_turn_end,101,pet,unit,type=me.pet.buff[{1}].{2}&type[0].op={3}&type[0].cmp={4},set_damage,name=受到的印记百分比伤害乘算&type=buff_per&op=*&value={0}
3013,on_attack,10,pet,none,none,heal,name=恢复&add={0}&{1}={2}&{3}={4}
