id,timing,priority,target,condition,cond_option,effect,effect_option
1,none,-1,none,none,none,none,none
2,none,-1,none,none,none,none,none
3,none,-1,none,none,none,none,none
4,none,-1,none,none,none,none,none
5,none,-1,none,none,none,none,none
6,none,-1,none,none,none,none,max_use=0
7,none,-1,none,none,none,none,max_use=0
8,none,-1,none,none,none,none,none
9,none,-1,none,none,none,none,none
1001,none,-1,none,none,none,none,none
1002,none,-1,none,none,none,none,none
1003,none,-1,none,none,none,none,none
1004,none,-1,none,none,none,none,none
1005,none,-1,none,none,none,none,none
1006,none,-1,none,none,none,none,none
1007,none,-1,none,none,none,none,none
1008,none,-1,none,none,none,none,none
1009,none,-1,none,none,none,none,none
1010,none,-1,none,none,none,none,none
1011,none,-1,none,none,none,none,none
1012,none,-1,none,none,none,none,none
1013,none,-1,none,none,none,none,none
1014,none,-1,none,none,none,none,none
1015,none,-1,none,none,none,none,none
1016,none,-1,none,none,none,none,none
1017,none,-1,none,none,none,none,none
1018,none,-1,none,none,none,none,none
1019,none,-1,none,none,none,none,none
1020,none,-1,none,none,none,none,none
1021,none,-1,none,none,none,none,none
1022,none,-1,none,none,none,none,none
1023,none,-1,none,none,none,none,none
1024,none,-1,none,none,none,none,none
1025,none,-1,none,none,none,none,none
1101,none,-1,none,none,none,none,none
1102,none,-1,none,none,none,none,none
1201,none,-1,none,none,none,none,none
1202,none,-1,none,none,none,none,none
1203,none,-1,none,none,none,none,none
1206,none,-1,none,none,none,none,none
7001,none,-1,none,none,none,none,resId=0
7002,none,-1,none,none,none,none,shootSize=76/38&resId=0
7003,none,-1,none,none,none,none,shootSize=59/37&resId=Maps/shoot/7003&size=50/50&offset=-27.5/-10
7004,none,-1,none,none,none,none,shootSize=30/30&resId=0&speed=400&rotation=720
7005,none,-1,none,none,none,none,shootSize=30/30&resId=0&speed=400&rotation=720
7006,none,-1,none,none,none,none,resId=0
7007,none,-1,none,none,none,none,resId=0
8000,none,-1,none,none,none,none,none
8001,resident,-1,pet,pet,type=level&level_op=<&level_cmp=maxLevel,set_pet,type=exp&op=+&value=50000
8002,resident,-1,pet,pet,type=iv&iv_op=<&iv_cmp=31,set_pet,type=iv&op=+&value=1
8003,resident,-1,pet,none,none,set_pet,type=evStorage&op=+&value=510
8004,on_before_attack,-1,pet,none,none,capture,prob=100
8005,resident,-1,pet,none,none,set_pet,type=personality&op=SET&value=-1
8006,resident\on_before_attack,-1\-1,pet\pet_bag,status\none,status_type=hp&cmp_value=0\none,heal\heal,type=item&set=status.battleHp/2\target_type=index_dead_other&type=item&set=target.status.maxHp/2
8007,resident\resident,-1\-1,state\state,none\none,none\none,set_player\set_player,param_count=2&action=setItem&param[0]=add&param[1]=1，2000\param_count=5&action=openHintbox&param[0]=type＝Item&param[1]=title＝提示&param[2]=content＝获得了 2000 赛尔豆！&param[3]=item_icon＝item[1]&param[4]=option_num＝1
8008,resident,-1,pet,pet,type=buff[group:trait]&buff[group:trait]_op=NOT&buff[group:trait]_cmp=0,set_pet,type=trait&op=SET&value=0
9000,resident,-1,pet,pet,type=level&level_op=<&level_cmp=maxLevel,set_pet,type=exp&op=+&value=50000
9001,resident,-1,pet,pet,type=level&level_op=<&level_cmp=maxLevel,set_pet,max_use=1&type=level&op=+&value=1
9002,resident,-1,pet,pet,type=level&level_op=<&level_cmp=maxLevel,set_pet,max_use=1&type=level&op=+&value=3
9003,resident,-1,pet_bag,none,none,set_pet,max_use=1&type=level&op=+&value=1
9004,resident,-1,pet_bag,none,none,set_pet,max_use=1&type=level&op=+&value=3
9005,resident,-1,pet,none,none,set_pet,type=iv&op=SET&value=random[0~31]
9006,resident,-1,pet,none,none,set_pet,type=iv&op=SET&value=random[11~31]
9007,resident,-1,pet,none,none,set_pet,type=iv&op=SET&value=random[21~31]
9008,resident,-1,pet,none,none,set_pet,type=iv&op=SET&value=random[28~31]
9009,resident,-1,pet,pet,type=iv&iv_op=<&iv_cmp=31,set_pet,type=iv&op=+&value=1
9010,resident,-1,pet,none,none,set_pet,type=personality&op=SET&value=random[0~24]
9011,resident,-1,pet,none,none,set_pet,type=evStorage&op=+&value=60
9012,resident,-1,pet,none,none,set_pet,type=evStorage&op=+&value=150
9013,resident,-1,pet,none,none,set_pet,type=personality&op=SET&value=-1
9014,resident,-1,pet,none,none,set_pet,type=evStorage&op=+&value=510
9015,resident\on_before_attack,-1\-1,pet\pet,status\status,status_type=hp&op=<&cmp_value=1/1\status_type=hp&op=<&cmp_value=1/1,heal\heal,type=item&add=100\type=item&add=100
9016,resident\on_before_attack,-1\-1,pet\pet,status\status,status_type=hp&op=<&cmp_value=1/1\status_type=hp&op=<&cmp_value=1/1,heal\heal,type=item&add=200\type=item&add=200
9017,resident\on_before_attack,-1\-1,pet\pet,status\status,status_type=hp&op=<&cmp_value=1/1\status_type=hp&op=<&cmp_value=1/1,heal\heal,type=item&add=300\type=item&add=300
9018,resident\on_before_attack,-1\-1,pet\pet,status\status,status_type=hp&op=<&cmp_value=1/1\status_type=hp&op=<&cmp_value=1/1,heal\heal,type=item&add=350\type=item&add=350
9019,resident\on_before_attack,-1\-1,pet\pet_bag,status\none,status_type=hp&cmp_value=0\none,heal\heal,type=item&set=target.status.initHp\target_type=index_dead_other&type=item&set=target.status.maxHp
10001,on_before_attack,-1,pet,pet,who=op&type=level&level_op=LTE&level_cmp=30,capture,prob=25
10002,on_before_attack,-1,pet,pet,who=op&type=level&level_op=LTE&level_cmp=60,capture,prob=25
10003,on_before_attack,-1,pet,none,none,capture,prob=35
10004,on_before_attack,-1,pet,none,none,capture,prob=49
10005,on_before_attack,-1,pet,none,none,capture,prob=100
10011,resident\on_before_attack,-1\-1,pet\pet,status\status,status_type=hp&op=<&cmp_value=1/1\status_type=hp&op=<&cmp_value=1/1,heal\heal,type=item&add=20\type=item&add=20
10012,resident\on_before_attack,-1\-1,pet\pet,status\status,status_type=hp&op=<&cmp_value=1/1\status_type=hp&op=<&cmp_value=1/1,heal\heal,type=item&add=50\type=item&add=50
10013,resident\on_before_attack,-1\-1,pet\pet,status\status,status_type=hp&op=<&cmp_value=1/1\status_type=hp&op=<&cmp_value=1/1,heal\heal,type=item&add=100\type=item&add=100
10014,resident\on_before_attack,-1\-1,pet\pet,status\status,status_type=hp&op=<&cmp_value=1/1\status_type=hp&op=<&cmp_value=1/1,heal\heal,type=item&add=200\type=item&add=200
10015,resident\on_before_attack,-1\-1,pet\pet,status\status,status_type=hp&op=<&cmp_value=1/1\status_type=hp&op=<&cmp_value=1/1,heal\heal,type=item&add=300\type=item&add=300
10016,resident\on_before_attack,-1\-1,pet\pet,status\status,status_type=hp&op=<&cmp_value=1/1\status_type=hp&op=<&cmp_value=1/1,heal\heal,type=item&add=350\type=item&add=350
10017,resident\on_before_attack,-1\-1,pet\pet_bag,status\none,status_type=hp&cmp_value=0\none,heal\heal,type=item&set=target.status.initHp/2\target_type=index_dead_other&type=item&set=target.status.maxHp/2
10018,resident\on_before_attack,-1\-1,pet\pet_bag,status\none,status_type=hp&cmp_value=0\none,heal\heal,type=item&set=target.status.initHp\target_type=index_dead_other&type=item&set=target.status.maxHp
10031,on_turn_ready,-1,pet,none,none,rage,type=pp&add=5
10032,on_turn_ready,-1,pet,none,none,rage,type=pp&add=10
10033,on_turn_ready,-1,pet,none,none,rage,type=pp&add=20
10101,resident\resident\resident\resident,-1\-1\-1\-1,pet\pet\pet\pet,pet\pet\pet\pet,type=buff[400001]&buff[400001]_cmp=0\type=buff[400001]&buff[400001]_cmp=0\type=buff[400001]&buff[400001]_cmp=0\type=buff[400001]&buff[400001]_cmp=0,set_pet\set_pet\set_pet\set_pet,max_use=1&type=buff&op=+&value=400001\max_use=1&type=record[battleExpMult]&op=SET&value=3\max_use=1&type=record[battleExpChance]&op=SET&value=30\max_use=1&type=record[battleExpBuff]&op=SET&value=400001
10111,resident\resident\resident\resident,-1\-1\-1\-1,pet\pet\pet\pet,pet\pet\pet\pet,type=buff[400002]&buff[400002]_cmp=0\type=buff[400002]&buff[400002]_cmp=0\type=buff[400002]&buff[400002]_cmp=0\type=buff[400002]&buff[400002]_cmp=0,set_pet\set_pet\set_pet\set_pet,max_use=1&type=buff&op=+&value=400002\max_use=1&type=record[battleEvMult]&op=SET&value=3\max_use=1&type=record[battleEvChance]&op=SET&value=30\max_use=1&type=record[battleEvBuff]&op=SET&value=400002
10201,resident,-1,pet,pet,type=level&level_op=<&level_cmp=maxLevel,set_pet,type=exp&op=+&value=1000
10202,resident,-1,pet,pet,type=level&level_op=<&level_cmp=maxLevel,set_pet,type=exp&op=+&value=2000
10203,resident,-1,pet,pet,type=level&level_op=<&level_cmp=maxLevel,set_pet,type=exp&op=+&value=5000
10204,resident,-1,pet,pet,type=level&level_op=<&level_cmp=maxLevel,set_pet,type=exp&op=+&value=15000
10205,resident,-1,pet,pet,type=level&level_op=<&level_cmp=maxLevel,set_pet,type=exp&op=+&value=50000
10206,resident,-1,pet,pet,type=level&level_op=<&level_cmp=maxLevel,set_pet,max_use=1&type=level&op=+&value=1
10207,resident,-1,pet,pet,type=level&level_op=<&level_cmp=maxLevel,set_pet,max_use=1&type=level&op=+&value=3
10208,resident,-1,pet_bag,none,none,set_pet,max_use=1&type=level&op=+&value=1
10209,resident,-1,pet_bag,none,none,set_pet,max_use=1&type=level&op=+&value=3
10211,resident,-1,pet,pet,type=level&level_op=>&level_cmp=1,set_pet,max_use=1&type=level&op=SET&value=1
10221,resident,-1,pet,none,none,set_pet,type=iv&op=SET&value=random[0~31]
10222,resident,-1,pet,none,none,set_pet,type=iv&op=SET&value=random[11~31]
10223,resident,-1,pet,none,none,set_pet,type=iv&op=SET&value=random[21~31]
10224,resident,-1,pet,none,none,set_pet,type=iv&op=SET&value=random[28~31]
10225,resident,-1,pet,pet,type=iv&iv_op=<&iv_cmp=31,set_pet,type=iv&op=+&value=1
10226,resident,-1,pet,pet,type=iv&iv_op=>&iv_cmp=0,set_pet,type=iv&op=SET&value=0
10231,resident,-1,pet,none,none,set_pet,type=evStorage&op=+&value=5
10232,resident,-1,pet,none,none,set_pet,type=evStorage&op=+&value=10
10233,resident,-1,pet,none,none,set_pet,type=evStorage&op=+&value=25
10234,resident,-1,pet,none,none,set_pet,type=evStorage&op=+&value=60
10235,resident,-1,pet,none,none,set_pet,type=evStorage&op=+&value=150
10236,resident,-1,pet,none,none,set_pet,type=evStorage&op=+&value=510
10237,resident,-1,pet,none,none,set_pet,type=evReset&op=SET&value=0
