skinId,name,physics,attribute,special,critical,fit
1,迪兰,28,63,43,0,0
2,迪迪兰,43,38,27,0,0
3,迪兰特,21,17,20,22,191
4,休咻,33,19,17,0,0
5,休伊尔,28,17,16,0,0
6,休罗斯,53,15,38,14,191
7,拉奥,46,16,23,0,0
8,拉奥苗,57,15,21,0,0
9,拉奥叶,18,39,27,77,191
10,法拉,23,23,19,0,0
11,法娜,20,36,59,0,0
12,法伊娜,35,64,78,27,0
13,小小葵,25,22,22,0,0
14,呆呆葵,16,48,43,0,0
15,笑笑葵,20,16,20,30,0
16,布尔,35,66,0,0,0
17,布鲁托,35,22,42,61,0
18,小树根,31,29,9,0,0
19,树根使者,11,12,47,21,0
20,奇鲁,18,12,21,0,0
21,库奇鲁,29,32,29,30,0
22,古斯,30,17,16,0,0
23,古加罗,39,31,25,0,0
24,古加罗斯,14,14,20,8,0
25,安可,32,32,48,0,0
26,安亚,24,21,40,0,0
27,安迷亚,27,20,59,16,0
28,蓝喵,34,21,31,0,0
29,蓝虎鲸,27,9,23,32,0
30,阿卡,48,33,40,0,0
31,阿卡纳斯,39,22,58,123,0
32,尤尼,34,34,63,0,0
33,乔尼,26,14,27,24,0
34,小岩浮,67,12,32,0,0
35,大角岩浮,41,21,53,0,0
36,大将岩浮,43,21,32,59,0
37,霍克,18,55,20,0,0
38,霍克努尔,50,19,70,44,0
39,小赤豚,17,19,76,0,0
40,赤焰兽,26,35,37,83,0
41,水墨点点,58,19,36,0,0
42,水墨飞马,19,13,28,19,0
46,汤尼,25,14,35,0,0
47,泰尼,28,5,28,0,0
48,鲁尼,53,11,38,53,0
55,麦麦籽,51,11,33,0,0
56,麦麦头,37,13,71,0,0
57,麦麦迪,68,18,104,173,0
58,大耳猴,59,19,70,0,0
59,拳套猴,59,16,84,0,0
60,长臂猴,20,21,19,50,0
61,晓月兔,68,25,63,0,0
62,拂晓兔,34,29,45,58,0
72,乌达,46,15,44,0,0
73,乌古达,33,19,22,47,0
74,达达,66,23,43,0,0
75,达克尔,40,15,31,0,0
76,达克拉尔,46,16,29,49,0
90,雷伊,23,35,77,169,90
91,伊特,36,35,60,108,0
95,暗伊特,63,18,38,44,184
96,光伊特,24,21,50,111,184
100,战伊特,33,25,44,143,176
119,豚豚,29,26,45,0,0
120,冰湖豚,34,24,36,0,0
121,冰川豚,33,21,59,53,0
122,冻气龟,24,28,58,0,0
123,寒冰龟,30,25,30,111,0
124,伊露,43,17,41,0,0
125,伊露辛,35,19,58,71,0
126,尼娅,59,49,56,0,0
127,卡尼娅,32,23,51,82,0
128,波利,39,36,32,0,0
129,怪笑波利,40,30,47,132,0
138,多利,45,40,37,0,0
139,多普利,43,53,54,113,0
140,希捷,46,36,53,0,0
141,希捷特,37,29,42,99,0
146,大眼独角,58,40,25,0,0
147,硬壳独角,24,19,19,0,0
148,重甲独角,22,20,29,23,0
149,小巴,55,14,41,0,0
150,巴图,37,21,30,61,0
151,蜂蛹,31,35,42,0,0
152,幼蜂,40,19,79,0,0
153,青蜂,44,28,78,50,0
154,阿紫,39,27,28,0,0
155,紫电,28,16,32,53,0
178,米咔,38,49,44,193,0
179,尼古,62,4,39,0,0
180,尼禄,51,4,41,53,0
192,凯瑟,35,29,40,0,0
193,凯瑟琳,31,49,37,94,0
200,荧光蝶,33,21,29,0,0
201,幻彩蝶,51,35,38,88,0
214,艾希,39,37,28,0,0
215,艾丽希斯,59,25,42,171,0
220,埃鲁,20,21,57,0,0
221,埃鲁达克,21,21,54,35,0
224,琳娜,23,23,29,0,0
225,卡特琳娜,15,25,43,88,0
228,米诺,35,20,53,0,0
229,米诺诺,24,15,32,0,0
230,米诺陶尔,33,20,43,86,0
234,凯萨,46,49,67,92,90
235,萨兰,34,23,28,0,0
236,萨兰古尔,30,30,31,84,0
280,南瓜,33,39,35,0,0
281,南瓜怪,49,26,22,41,0
301,特鲁伊,21,31,29,95,0
302,爱丽斯,39,45,37,87,0
303,幻灵兽,18,29,46,110,0
320,莫莫,23,16,19,0,0
321,莫利,19,21,35,0,0
322,莫利亚,24,31,23,79,0
323,布里,31,35,29,0,0
324,布里米,21,13,22,0,0
325,布里米亚,27,43,23,41,0
326,莉莉,27,41,25,0,0
327,莉塔,31,25,20,0,0
328,伊莉塔,38,33,50,71,0
329,泰纳,35,60,33,0,0
330,泰瑞纳,33,20,28,0,0
331,泰瑞纳斯,24,40,24,52,0
332,埃尔,24,19,20,0,0
333,埃尔斯,47,19,45,0,0
334,埃尔萨斯,31,15,23,65,0
335,汉尼,34,40,33,0,0
336,汉尼斯,28,25,38,0,0
337,汉尼拔,24,26,27,59,0
338,伊利,18,21,32,0,0
339,伊利普,28,26,33,0,0
340,伊利丹,37,37,52,98,0
350,萨弗,25,23,25,0,0
351,萨弗拉,33,22,37,46,0
354,娜娜,28,21,22,0,0
355,丽芙娜迦,33,51,73,68,0
356,咔咔,22,18,16,0,0
357,咔斯奇,19,5,19,55,0
388,星辰兔,16,16,28,18,0
436,哥布,30,13,21,0,0
437,哥布林,26,29,30,52,0
495,盖亚,31,45,88,103,0
618,拉奥花,17,80,27,95,113
632,迪兰特斯,36,23,52,95,118
640,烈焰伊尔,24,32,43,61,135
685,极影兔,62,36,31,80,0
691,巨石托尔,25,15,22,55,0
692,海王纳斯,27,24,27,54,0
693,爆焰努尔,29,18,24,119,0
694,麦迪侠,26,11,27,28,0
699,圣光希斯,44,10,19,44,0
809,蛇诗曼,39,29,47,119,0
810,钢伊特,46,50,24,47,115
826,萌萌大月饼,31,10,47,44,0
946,神迹拂晓兔,20,16,41,20,0
959,洛基,23,11,12,13,0
961,星之首影,25,21,47,71,0
962,星之躯影,41,25,35,54,0
963,星之臂影,33,41,27,78,0
964,星之足影,32,18,36,96,0
965,星之背影,49,36,24,79,0
966,星之心影,34,38,55,0,0
970,观星者,20,30,51,136,0
981,目灵兽,18,9,44,30,0
982,脉灵兽,33,21,31,75,0
988,影灵兽,46,15,32,126,0
989,凯伊,48,36,49,120,90
990,约瑟,30,47,28,271,0
1990,奎尔斯,33,13,30,98,0
